Sr;Label;Type;Name;Mandatory;Options;Default;Fetch From;Display Depends On (JS)
113;Terms and Conditions Details;Text Editor;terms;;;;;
114;More Info;Tab Break;more_info;;fa fa-file-text;;;
115;Status;Section Break;section_break_78;;;;;
116;Status;Select;status;x;Draft;Draft;;
117;Delivery Status;Select;delivery_status;;Not Delivered;;;
118;% Delivered;Percent;per_delivered;;;;;eval:!doc.__islocal && !doc.skip_delivery_note_creation
119;;Column Break;column_break_81;;;;;
120;% Amount Billed;Percent;per_billed;;;;;eval:!doc.__islocal
121;% Picked;Percent;per_picked;;;;;
122;Billing Status;Select;billing_status;;Not Billed;;;
123;Advance Payment Status;Select;advance_payment_status;;Not Requested;;;
124;Commission;Section Break;sales_team_section_break;;fa fa-group;;;
125;Sales Partner;Link;sales_partner;;Sales Partner;;;
126;;Column Break;column_break7;;;;;
127;Amount Eligible for Commission;Currency;amount_eligible_for_commission;;;;;
128;Commission Rate;Float;commission_rate;;;;sales_partner.commission_rate;
129;Total Commission;Currency;total_commission;;Company:company:default_currency;;;
130;Sales Team;Section Break;section_break1;;;;;
131;Sales Team;Table;sales_team;;Sales Team;;;
132;Loyalty Points;Section Break;loyalty_points_redemption;;;;;
133;Loyalty Points;Int;loyalty_points;;;;;
134;;Column Break;column_break_116;;;;;
135;Loyalty Amount;Currency;loyalty_amount;;;;;
136;Auto Repeat;Section Break;subscription_section;;;;;
137;From Date;Date;from_date;;;;;
138;To Date;Date;to_date;;;;;
139;;Column Break;column_break_108;;;;;
140;Auto Repeat;Link;auto_repeat;;Auto Repeat;;;
141;Update Auto Repeat Reference;Button;update_auto_repeat_reference;;;;;eval: doc.auto_repeat
142;Print Settings;Section Break;printing_details;;;;;
143;Letter Head;Link;letter_head;;Letter Head;;;
144;Group same items;Check;group_same_items;;;0;;
145;;Column Break;column_break4;;;;;
146;Print Heading;Link;select_print_heading;;Print Heading;;;
147;Print Language;Data;language;;;;;
148;Additional Info;Section Break;additional_info_section;;;;;
149;Is Internal Customer;Check;is_internal_customer;;;0;customer.is_internal_customer;
150;Represents Company;Link;represents_company;;Company;;customer.represents_company;
151;;Column Break;column_break_152;;;;;
152;Source;Link;source;;Lead Source;;;
153;Inter Company Order Reference;Link;inter_company_order_reference;;Purchase Order;;;
154;Campaign;Link;campaign;;Campaign;;;
155;Party Account Currency;Link;party_account_currency;;Currency;;;
156;Connections;Tab Break;connections_tab;;;;;
