Sr;Label;Type;Name;Mandatory;Options;Default;Fetch From;Display Depends On (JS);;;;;;;;;;;;;;;;;;
68;Totals;Section Break;totals;;fa fa-money;;;;;;;;;;;;;;;;;;;;;
69;Grand Total (Company Currency);Currency;base_grand_total;x;Company:company:default_currency;;;;;;;;;;;;;;;;;;;;;
70;Rounding Adjustment (Company Currency);Currency;base_rounding_adjustment;;Company:company:default_currency;;;eval:!doc.disable_rounded_total;;;;;;;;;;;;;;;;;;
71;Rounded Total (Company Currency);Currency;base_rounded_total;;Company:company:default_currency;;;eval:!doc.disable_rounded_total;;;;;;;;;;;;;;;;;;
72;In Words (Company Currency);Small Text;base_in_words;;;;;;;;;;;;;;;;;;;;;;;
73;;Column Break;column_break5;;;;;;;;;;;;;;;;;;;;;;;
74;Grand Total;Currency;grand_total;x;currency;;;;;;;;;;;;;;;;;;;;;
75;Rounding Adjustment;Currency;rounding_adjustment;;currency;;;eval:!doc.disable_rounded_total;;;;;;;;;;;;;;;;;;
76;Use Company default Cost Center for Round off;Check;use_company_roundoff_cost_center;;;0;;;;;;;;;;;;;;;;;;;;
77;Rounded Total;Currency;rounded_total;;currency;;;eval:!doc.disable_rounded_total;;;;;;;;;;;;;;;;;;
78;In Words;Small Text;in_words;;;;;;;;;;;;;;;;;;;;;;;
79;Total Advance;Currency;total_advance;;party_account_currency;;;;;;;;;;;;;;;;;;;;;
80;Outstanding Amount;Currency;outstanding_amount;;party_account_currency;;;;;;;;;;;;;;;;;;;;;
81;Disable Rounded Total;Check;disable_rounded_total;;;0;;grand_total;;;;;;;;;;;;;;;;;;
82;Additional Discount;Section Break;section_break_49;;;;;;;;;;;;;;;;;;;;;;;
83;Apply Additional Discount On;Select;apply_discount_on;;Grand Total;Grand Total;;;;;;;;;;;;;;;;;;;;
84;Additional Discount Amount (Company Currency);Currency;base_discount_amount;;Company:company:default_currency;;;;;;;;;;;;;;;;;;;;;
85;Coupon Code;Link;coupon_code;;Coupon Code;;;;;;;;;;;;;;;;;;;;;
86;Is Cash or Non Trade Discount;Check;is_cash_or_non_trade_discount;;;0;;"eval: doc.apply_discount_on == ""Grand Total""";;;;;;;;;;;;;;;;;;
87;Discount Account;Link;additional_discount_account;;Account;;;;;;;;;;;;;;;;;;;;;
88;;Column Break;column_break_51;;;;;;;;;;;;;;;;;;;;;;;
89;Additional Discount Percentage;Float;additional_discount_percentage;;;;;;;;;;;;;;;;;;;;;;;
90;Additional Discount Amount;Currency;discount_amount;;currency;;;;;;;;;;;;;;;;;;;;;
91;Tax Breakup;Section Break;sec_tax_breakup;;;;;;;;;;;;;;;;;;;;;;;
92;Taxes and Charges Calculation;Text Editor;other_charges_calculation;;;;;;;;;;;;;;;;;;;;;;;
93;Pricing Rules;Section Break;pricing_rule_details;;;;;;;;;;;;;;;;;;;;;;;
94;Pricing Rule Detail;Table;pricing_rules;;Pricing Rule Detail;;;;;;;;;;;;;;;;;;;;;
95;Packing List;Section Break;packing_list;;fa fa-suitcase;;;packed_items;;;;;;;;;;;;;;;;;;
96;Packed Items;Table;packed_items;;Packed Item;;;packed_items;;;;;;;;;;;;;;;;;;
97;Product Bundle Help;HTML;product_bundle_help;;;;;;;;;;;;;;;;;;;;;;;
98;Time Sheet List;Section Break;time_sheet_list;;;;;eval:!doc.is_return;;;;;;;;;;;;;;;;;;
99;Time Sheets;Table;timesheets;;Sales Invoice Timesheet;;;;;;;;;;;;;;;;;;;;;
100;;Section Break;section_break_104;;;;;eval:(!doc.is_return && doc.total_billing_amount > 0);;;;;;;;;;;;;;;;;;
101;Total Billing Hours;Float;total_billing_hours;;;;;;;;;;;;;;;;;;;;;;;
102;;Column Break;column_break_106;;;;;;;;;;;;;;;;;;;;;;;
103;Total Billing Amount;Currency;total_billing_amount;;currency;0;;;;;;;;;;;;;;;;;;;;
104;Payments;Tab Break;payments_tab;;;;;;;;;;;;;;;;;;;;;;;
105;Payments;Section Break;payments_section;;fa fa-money;;;eval:doc.is_pos===1;;;;;;;;;;;;;;;;;;
106;Cash/Bank Account;Link;cash_bank_account;;Account;;;is_pos;;;;;;;;;;;;;;;;;;
107;Sales Invoice Payment;Table;payments;;Sales Invoice Payment;;;eval:doc.is_pos===1;;;;;;;;;;;;;;;;;;
108;;Section Break;section_break_84;;;;;;;;;;;;;;;;;;;;;;;
